
*********************************************************************************
program_crabs.py
Directory /Users/brocktubre/Desktop/School/CSC475/NeuralNetwork_Crabs/Assignment2
Created by Brock Tubre on 10/24/14 -- CSC475

Using the crab’s dataset, build a classifier that can identify the sex of a crab from its physical measurements.
Five physical measurements of a crab considered are: frontal lobe size (FLB), rear width (RW), length (CL), width (CW), and depth (BD).
This program uses a Batch Gradient Descnes Algorithm
Compile & run $: python3 program_crabs2.py
Output is in .csv run$: python3 program_crabs2.py > output.csv
This will output a .csv to the cwd with the columns deltaFLB, deltaRW, deltaCL, deltaCW, deltaDB, deltaERROR
*********************************************************************************

deltaFLB, deltaRW, deltaCL, deltaCW, deltaDB, deltaERROR
-3.0293064044665963e-05,-2.537638872851522e-05,-5.9951718371119e-05,-6.70888277010135e-05,-2.6645208164941786e-05,0.7229584257857431
-1.0835027027147366e-05,-9.186218566494334e-06,-2.2376686251717376e-05,-2.6380935370445488e-05,-9.068446533590718e-06,0.6707030750321373
-2.3251707378903403e-05,-2.2074405739464995e-05,-5.0771133200770095e-05,-5.930657008669689e-05,-2.251589385425458e-05,0.6012311244585146
-2.2112496315595333e-05,-1.7238236375061167e-05,-4.1252882911352594e-05,-4.684044918464893e-05,-1.7832658319028483e-05,0.6782333647575172
-2.7820176328279656e-05,-2.358360125290747e-05,-5.634644850245472e-05,-6.157155776208116e-05,-2.5701888790593386e-05,0.6470792929162318
-2.729399654717384e-05,-2.1318387835662228e-05,-6.024059592956121e-05,-6.89617545896054e-05,-2.5194458351237393e-05,0.7187823528691311
-2.042169169886622e-05,-1.5656630302464045e-05,-4.411085406955101e-05,-5.037350619053679e-05,-1.824337791765383e-05,0.6888110171226031
-1.6611310534003982e-05,-1.2856699248921244e-05,-3.401905376484375e-05,-3.8114993348570617e-05,-1.4563340742140493e-05,0.6470792929162318
-1.562261183154183e-05,-1.3901476629761891e-05,-3.336354391142839e-05,-3.8791739547811704e-05,-1.363668659871872e-05,0.6836286807113061
-1.7176880988951807e-05,-1.4606191317136086e-05,-3.517170869166326e-05,-4.054678709636966e-05,-1.4606191317135923e-05,0.6955698456434158
-3.2235447315738194e-05,-2.37604001341353e-05,-7.128120040240699e-05,-8.26317100206253e-05,-3.0268025648580443e-05,0.6790470373084785
-2.271503293684691e-05,-1.9261285238846015e-05,-4.396886492453989e-05,-4.941515937138645e-05,-1.9394121688769898e-05,0.6625928835819029
-1.429156692192812e-05,-1.362164972246345e-05,-2.9811315376209444e-05,-3.472404150562172e-05,-1.239346819010954e-05,0.6070581393813951
-2.4317087656379704e-05,-1.743952751114171e-05,-5.305546397755569e-05,-6.103834628899338e-05,-2.284332476811424e-05,0.6506198171416688
-1.9184632808784267e-05,-1.75329756795517e-05,-4.0275023843606766e-05,-4.650050071533171e-05,-1.6516571292330827e-05,0.6157016153646847
-9.851435763521957e-06,-8.946712070953544e-06,-2.0507070364882444e-05,-2.40254402804254e-05,-8.846187216223769e-06,0.6499841301207181
-1.1089913723464446e-05,-9.901708681665095e-06,-2.2575895794195487e-05,-2.6635596353678792e-05,-9.307606160764822e-06,0.6297866328037073
